dataset,group,n_cells,max_h1_raw_pca,max_h1_harmony
PC9+osimertinib,D0,1000,1.7096576690673828,1.351943016052246
PC9+osimertinib,D3,1000,1.9630022048950195,2.210757255554199
PC9+osimertinib,D7,1000,3.2792539596557617,2.5825624465942383
PC9+osimertinib,D14,1000,3.776317596435547,3.9425277709960938
PDX YU-003,residual,1500,2.489344596862793,2.117616653442383
PDX YU-003,untreated,1500,2.083889961242676,2.060103416442871
PDX YU-006,residual,1500,5.007878303527832,5.190606117248535
PDX YU-006,untreated,1500,2.357327461242676,2.5922679901123047
Kim LUAD,naive,1500,4.192122459411621,4.515623092651367
