system,timepoint_label,day,max_h1,n_cells,n_h1
PC9+Erlotinib,D0,0,1.4669981002807617,1560.0,1393.0
PC9+Erlotinib,D1,1,1.322561264038086,324.0,255.0
PC9+Erlotinib,D11,11,1.0793461799621582,249.0,124.0
PC9+Erlotinib,D2,2,1.7711811065673828,230.0,124.0
PC9+Erlotinib,D4,4,1.3701486587524414,200.0,54.0
PC9+Erlotinib,D9,9,1.774221420288086,379.0,204.0
PC9+Osimertinib,D0,0,1.4133377075195312,1249.0,1473.0
PC9+Osimertinib,D14,14,3.776317596435547,1250.0,1153.0
PC9+Osimertinib,D3,3,1.8202381134033203,1250.0,1399.0
PC9+Osimertinib,D7,7,2.6726579666137695,1250.0,1421.0
PDX-YU-003,residual,14,3.849271774291992,1500.0,1545.0
PDX-YU-003,untreated,0,2.790079116821289,1500.0,1534.0
PDX-YU-006,residual,14,6.078269958496094,1500.0,1122.0
PDX-YU-006,untreated,0,2.813671112060547,1500.0,1494.0
Kim patient LUAD (naive),naive,0,4.772975921630859,1500.0,985.0
